time,latitude,longitude,po4_max,po4_min,po4_range,po4_mean
UTC,degrees_north,degrees_east,MMol' 'M-3,MMol' 'M-3,MMol' 'M-3,MMol' 'M-3
2000-01-01T00:00:00Z,34.025,-124.975,0.9361980676889844,0.28519476069880795,0.6510033069901764,0.5101655184106144
2000-01-01T00:00:00Z,34.025,-124.925,0.9322493289192575,0.2890260114870553,0.6432233174322022,0.5121312730188371
2000-01-01T00:00:00Z,34.025,-124.875,0.9280247911039706,0.29288377996925785,0.6351410111347128,0.5146149270749253
2000-01-01T00:00:00Z,34.025,-124.825,0.9254227587017833,0.29508378342240443,0.6303389752793789,0.5177373315588818
2000-01-01T00:00:00Z,34.025,-124.775,0.9221195273819681,0.29609872887765276,0.6260207985043154,0.5179888256826221
2000-01-01T00:00:00Z,34.025,-124.725,0.9226247848162015,0.296113827913513,0.6265109569026885,0.518277284315863
2000-01-01T00:00:00Z,34.025,-124.675,0.9270847916949215,0.2955335148098728,0.6315512768850488,0.5199547864617656
2000-01-01T00:00:00Z,34.025,-124.625,0.9302416488958484,0.29515080114707165,0.6350908477487767,0.522352154060741
2000-01-01T00:00:00Z,34.025,-124.575,0.9318246415183116,0.2932313915444849,0.6385932499738267,0.5254660247576431
2000-01-01T00:00:00Z,34.025,-124.525,0.9289973663299665,0.29132097478969043,0.6376763915402761,0.5254580388069972
2000-01-01T00:00:00Z,34.025,-124.475,0.9293081684124835,0.2911629179610955,0.638145250451388,0.5258200562785765
2000-01-01T00:00:00Z,34.025,-124.425,0.9350618451373534,0.2923840809024952,0.6426777642348582,0.5282837692596549
2000-01-01T00:00:00Z,34.025,-124.375,0.9430507062480263,0.29364312020072453,0.6494075860473019,0.5322685804517728
2000-01-01T00:00:00Z,34.025,-124.325,0.9501184828562709,0.29353953844264014,0.6565789444136307,0.5371354674701406
2000-01-01T00:00:00Z,34.025,-124.275,0.9517375532932978,0.2938426855418354,0.6578948677514624,0.5379215657329633
2000-01-01T00:00:00Z,34.025,-124.225,0.9519918417407301,0.29367012893569505,0.6583217128050352,0.5384233798457669
2000-01-01T00:00:00Z,34.025,-124.175,0.9536961748383834,0.29259905871999475,0.6610971161183887,0.541032926803751
2000-01-01T00:00:00Z,34.025,-124.125,0.9586912775528893,0.29141761738396355,0.6672736601689258,0.5459498843827221
2000-01-01T00:00:00Z,34.025,-124.075,0.9635253267472599,0.2896358395560492,0.6738894871912107,0.5499598855580222
2000-01-01T00:00:00Z,34.025,-124.025,0.9674670885777888,0.28817342356085823,0.6792936650169306,0.5527598191390799
2000-01-01T00:00:00Z,34.025,-123.975,0.9677042840585847,0.28810078626122676,0.679603497797358,0.5532849259918569
2000-01-01T00:00:00Z,34.025,-123.925,0.9662243460655464,0.2886555405697219,0.6775688054958244,0.5556763281753924
2000-01-01T00:00:00Z,34.025,-123.875,0.9647654853510906,0.2892281157239414,0.6755373696271492,0.5605867062449261
2000-01-01T00:00:00Z,34.025,-123.825,0.9638825073686803,0.28952464704205494,0.6743578603266254,0.5643442753509181
2000-01-01T00:00:00Z,34.025,-123.775,0.9632893966989199,0.28969495946145934,0.6735944372374605,0.5669506493108504
2000-01-01T00:00:00Z,34.025,-123.725,0.9630100775979453,0.2898418556518211,0.6731682219461242,0.5674730363657028
2000-01-01T00:00:00Z,34.025,-123.675,0.9603483793531603,0.2910495037703396,0.6692988755828206,0.5709952210764843
2000-01-01T00:00:00Z,34.025,-123.625,0.95620538610089,0.2932165959514766,0.6629887901494134,0.5755994595750958
2000-01-01T00:00:00Z,34.025,-123.575,0.9536131877327747,0.29662875023038593,0.6569844375023888,0.5814671567472192
2000-01-01T00:00:00Z,34.025,-123.525,0.9496797887745105,0.29827728068860937,0.6514025080859012,0.5825577496607619
2000-01-01T00:00:00Z,34.025,-123.475,0.950267270154822,0.29865578464339254,0.6516114855114294,0.5831843744510703
2000-01-01T00:00:00Z,34.025,-123.425,0.9583796200595558,0.2997022265649745,0.6586773934945813,0.5864254696412909
2000-01-01T00:00:00Z,34.025,-123.375,0.9738323880947717,0.30435223923158966,0.6694801488631821,0.5935252233406193
2000-01-01T00:00:00Z,34.025,-123.325,0.9931318275969718,0.3097483343442921,0.6833834932526797,0.6007546345311576
2000-01-01T00:00:00Z,34.025,-123.275,0.9985398788714138,0.3121516899526592,0.6863881889187546,0.6027015004722482
2000-01-01T00:00:00Z,34.025,-123.225,1.0009402110245413,0.3126656713172576,0.6882745397072838,0.6033779875541526
2000-01-01T00:00:00Z,34.025,-123.175,1.0116740888225793,0.3134012005527998,0.6982728882697795,0.6061582340521723
2000-01-01T00:00:00Z,34.025,-123.125,1.0386670454348934,0.3164703046369622,0.7221967407979313,0.61300793535289
2000-01-01T00:00:00Z,34.025,-123.075,1.0650268788346833,0.3202943412840987,0.7447325375505846,0.6196393057816069
2000-01-01T00:00:00Z,34.025,-123.025,1.0761566498992894,0.321242284284669,0.7549143656146204,0.6218323633402225
2000-01-01T00:00:00Z,34.025,-122.975,1.0780708790027165,0.32180886235780265,0.7562620166449139,0.6223280522066096
2000-01-01T00:00:00Z,34.025,-122.925,1.0797673092482194,0.3250044792579821,0.7547628299902374,0.6237244139729915
2000-01-01T00:00:00Z,34.025,-122.875,1.0905080160363867,0.33333617034539875,0.7571718456909879,0.6280551962222988
2000-01-01T00:00:00Z,34.025,-122.825,1.098082717488903,0.3444641733902716,0.7536185440986314,0.6324511107494417
2000-01-01T00:00:00Z,34.025,-122.775,1.1013184649320749,0.3483618478375312,0.7529566170945436,0.6338354100242594
