time,latitude,longitude,ph_max,ph_min,ph_range,ph_mean
UTC,degrees_north,degrees_east,1,1,1,1
2000-01-01T00:00:00Z,34.025,-124.975,8.089216737634528,8.013430313004383,0.07578642463014518,8.051691964577593
2000-01-01T00:00:00Z,34.025,-124.925,8.089605884909457,8.013301491532836,0.07630439337662054,8.051712880934451
2000-01-01T00:00:00Z,34.025,-124.875,8.089887572867438,8.013137942241935,0.07674963062550333,8.051743602111937
2000-01-01T00:00:00Z,34.025,-124.825,8.089809831566651,8.01302360918806,0.07678622237859045,8.051772032782162
2000-01-01T00:00:00Z,34.025,-124.775,8.089553676964066,8.012924421188947,0.07662925577511892,8.051772165865229
2000-01-01T00:00:00Z,34.025,-124.725,8.089570948454957,8.012926271680161,0.07664467677479614,8.051780766453493
2000-01-01T00:00:00Z,34.025,-124.675,8.089877882717435,8.012981746195804,0.07689613652163096,8.05180821658534
2000-01-01T00:00:00Z,34.025,-124.625,8.090030266408677,8.012896894174759,0.07713337223391825,8.051792206425665
2000-01-01T00:00:00Z,34.025,-124.575,8.089543959955057,8.012814396743302,0.07672956321175484,8.051744670497879
2000-01-01T00:00:00Z,34.025,-124.525,8.089052391150366,8.01269745686213,0.07635493428823636,8.05167493500615
2000-01-01T00:00:00Z,34.025,-124.475,8.0890533699139,8.012689233162979,0.07636413675092157,8.05167549954368
2000-01-01T00:00:00Z,34.025,-124.425,8.089336056436792,8.012756686734859,0.07657936970193369,8.05173576118859
2000-01-01T00:00:00Z,34.025,-124.375,8.088666106993477,8.01273228976262,0.07593381723085635,8.05174666306534
2000-01-01T00:00:00Z,34.025,-124.325,8.087141749631357,8.012699936819814,0.07444181281154272,8.051721638577177
2000-01-01T00:00:00Z,34.025,-124.275,8.086183567167101,8.01258964117609,0.07359392599101078,8.051619866040141
2000-01-01T00:00:00Z,34.025,-124.225,8.086094835338747,8.012600643318942,0.07349419201980467,8.051625322222092
2000-01-01T00:00:00Z,34.025,-124.175,8.086251965075068,8.012772647658297,0.07347931741677094,8.051780462107684
2000-01-01T00:00:00Z,34.025,-124.125,8.08493307902286,8.012976127418087,0.07195695160477378,8.052015939597883
2000-01-01T00:00:00Z,34.025,-124.075,8.083037951352242,8.013072528262652,0.06996542308958986,8.052159987040964
2000-01-01T00:00:00Z,34.025,-124.025,8.081203638559993,8.013101663281608,0.06810197527838469,8.052240856287503
2000-01-01T00:00:00Z,34.025,-123.975,8.081127052882588,8.013132438138259,0.06799461474432889,8.052266453116852
2000-01-01T00:00:00Z,34.025,-123.925,8.082282454951452,8.013441432005374,0.06884102294607786,8.052452229943741
2000-01-01T00:00:00Z,34.025,-123.875,8.082614940416796,8.013962852082496,0.06865208833430003,8.052850061478622
2000-01-01T00:00:00Z,34.025,-123.825,8.082167221402624,8.01439525899526,0.06777196240736494,8.053156072803612
2000-01-01T00:00:00Z,34.025,-123.775,8.081410302593662,8.014644047579692,0.06676625501397027,8.053365149814333
2000-01-01T00:00:00Z,34.025,-123.725,8.081471120054683,8.014595956028518,0.06687516402616467,8.053403389535331
2000-01-01T00:00:00Z,34.025,-123.675,8.083259559360487,8.014080388259334,0.0691791711011529,8.053604241645916
2000-01-01T00:00:00Z,34.025,-123.625,8.085430490920825,8.013310259172568,0.0721202317482561,8.053895087040377
2000-01-01T00:00:00Z,34.025,-123.575,8.087724199014366,8.012348491597713,0.07537570741665256,8.054260117091683
2000-01-01T00:00:00Z,34.025,-123.525,8.088190532471494,8.012130230743477,0.07606030172801681,8.054426407145481
2000-01-01T00:00:00Z,34.025,-123.475,8.088357710069502,8.011980155669299,0.076377554400203,8.05445363107733
2000-01-01T00:00:00Z,34.025,-123.425,8.089330949615926,8.011213932122942,0.07811701749298372,8.05446524813258
2000-01-01T00:00:00Z,34.025,-123.375,8.091721483209463,8.009466767679093,0.08225471553036989,8.054561495932473
2000-01-01T00:00:00Z,34.025,-123.325,8.094297544424746,8.00764181350551,0.08665573091923662,8.054698247495452
2000-01-01T00:00:00Z,34.025,-123.275,8.095128934303757,8.007074680607923,0.08805425369583375,8.054756055290035
2000-01-01T00:00:00Z,34.025,-123.225,8.095285013128844,8.006907939235244,0.08837707389360006,8.054760735500771
2000-01-01T00:00:00Z,34.025,-123.175,8.095542087708486,8.006258957867763,0.08928312984072306,8.054730731075006
2000-01-01T00:00:00Z,34.025,-123.125,8.096495165979883,8.004336039167535,0.09215912681234784,8.054673118948049
2000-01-01T00:00:00Z,34.025,-123.075,8.097342962386097,8.002326334751547,0.09501662763454988,8.054679258149454
2000-01-01T00:00:00Z,34.025,-123.025,8.097364643922468,8.00162379646971,0.0957408474527579,8.054660595062714
2000-01-01T00:00:00Z,34.025,-122.975,8.09748644175659,8.001426613292217,0.096059828464373,8.054662632556823
2000-01-01T00:00:00Z,34.025,-122.925,8.098170600403767,8.00072841388153,0.0974421865222368,8.054684427021455
2000-01-01T00:00:00Z,34.025,-122.875,8.099021919760316,7.998503381724971,0.10051853803534527,8.054671081025523
2000-01-01T00:00:00Z,34.025,-122.825,8.09990334658694,7.996355163369815,0.103548183217125,8.054697764365075
2000-01-01T00:00:00Z,34.025,-122.775,8.100027482111521,7.995306324606132,0.1047211575053888,8.054703070110541
2000-01-01T00:00:00Z,34.025,-122.725,8.100135097539983,7.995142057497283,0.10499304004270016,8.054702094656372
2000-01-01T00:00:00Z,34.025,-122.675,8.10067269178121,7.995151376636137,0.10552131514507224,8.054670131912927
2000-01-01T00:00:00Z,34.025,-122.625,8.101339816527593,7.994495538394984,0.1068442781326091,8.0545343324929
