time,latitude,longitude,si_max,si_min,si_range,si_mean
UTC,degrees_north,degrees_east,MMol' 'M-3,MMol' 'M-3,MMol' 'M-3,MMol' 'M-3
2000-01-01T00:00:00Z,34.025,-124.975,174.77927568104812,168.74141448870833,6.03786119233979,171.70052895123357
2000-01-01T00:00:00Z,34.025,-124.925,175.04351525572395,168.95421448641966,6.0893007693042875,171.94163148694193
2000-01-01T00:00:00Z,34.025,-124.875,175.3436384665556,169.21232137561233,6.13131709094327,172.2287212526947
2000-01-01T00:00:00Z,34.025,-124.825,175.58876587177264,169.4417914948714,6.146974376901227,172.4834498395317
2000-01-01T00:00:00Z,34.025,-124.775,175.71901946315356,169.57684492867145,6.142174534482109,172.63744893375207
2000-01-01T00:00:00Z,34.025,-124.725,175.73433128187528,169.5915900348317,6.142741247043574,172.65276875585835
2000-01-01T00:00:00Z,34.025,-124.675,175.7527587516007,169.59700201527505,6.155756736325657,172.64374430383316
2000-01-01T00:00:00Z,34.025,-124.625,175.8124992513049,169.64706621548177,6.165433035823128,172.6768130668112
2000-01-01T00:00:00Z,34.025,-124.575,175.89262237441008,169.72416818606823,6.168454188341855,172.73788230624487
2000-01-01T00:00:00Z,34.025,-124.525,175.97000094607978,169.8023140817071,6.167686864372683,172.80226822573468
2000-01-01T00:00:00Z,34.025,-124.475,176.025016268273,169.8590954341685,6.165920834104497,172.84904712303714
2000-01-01T00:00:00Z,34.025,-124.425,176.04753876824552,169.8828736197378,6.164665148507709,172.86702134343915
2000-01-01T00:00:00Z,34.025,-124.375,176.04223667796705,169.87802618171168,6.164210496255379,172.8597016111975
2000-01-01T00:00:00Z,34.025,-124.325,176.02046689060901,169.85617486541398,6.164292025195039,172.8373664466615
2000-01-01T00:00:00Z,34.025,-124.275,175.99044881612795,169.82581695143338,6.16463186469457,172.8075478852252
2000-01-01T00:00:00Z,34.025,-124.225,175.95789712008215,169.79286066203466,6.165036458047496,172.7755458222648
2000-01-01T00:00:00Z,34.025,-124.175,176.4366768402704,170.63833410484216,5.7983427354282355,173.47323321471112
2000-01-01T00:00:00Z,34.025,-124.125,176.59366453422564,170.70618783724748,5.887476696978155,173.6298234905142
2000-01-01T00:00:00Z,34.025,-124.075,176.80626726871466,170.8284050646603,5.977862204054361,173.85342219324502
2000-01-01T00:00:00Z,34.025,-124.025,176.83556084619266,170.84703449460022,5.988526351592441,173.91700330544685
2000-01-01T00:00:00Z,34.025,-123.975,176.85690082113913,170.85980200388204,5.997098817257097,173.93819805237646
2000-01-01T00:00:00Z,34.025,-123.925,177.02313701146252,170.95563115091326,6.067505860549261,174.05846618767535
2000-01-01T00:00:00Z,34.025,-123.875,177.15330332273464,171.03430138735766,6.119001935376986,174.17821759319384
2000-01-01T00:00:00Z,34.025,-123.825,177.29045596395216,171.1080487628658,6.182407201086363,174.30934271374775
2000-01-01T00:00:00Z,34.025,-123.775,177.26177660759623,171.09037673093854,6.171399876657688,174.32111178613386
2000-01-01T00:00:00Z,34.025,-123.725,177.28548659595745,171.10554588110713,6.179940714850318,174.34404981033782
2000-01-01T00:00:00Z,34.025,-123.675,177.42828034773865,171.1946354664294,6.23364488130926,174.44329987958366
2000-01-01T00:00:00Z,34.025,-123.625,176.72244869019661,170.7570118348977,5.965436855298918,173.79373843523837
2000-01-01T00:00:00Z,34.025,-123.575,176.6600050693992,170.76076998888203,5.8992350805171725,173.7912626295342
2000-01-01T00:00:00Z,34.025,-123.525,177.3625030308797,171.1610055456775,6.2014974852021965,174.46631682546817
2000-01-01T00:00:00Z,34.025,-123.475,175.91122896985448,169.7360102054201,6.1752187644343906,172.6971337288255
2000-01-01T00:00:00Z,34.025,-123.425,175.9061769850572,169.73103898998224,6.175137995074948,172.69172467333013
2000-01-01T00:00:00Z,34.025,-123.375,175.90152759672367,169.72647451997608,6.175053076747588,172.68674171797116
2000-01-01T00:00:00Z,34.025,-123.325,178.05160175272056,171.68352436644423,6.368077386276326,175.02481260146078
2000-01-01T00:00:00Z,34.025,-123.275,178.07128877533373,171.73568167253393,6.335607102799798,175.08331409007909
2000-01-01T00:00:00Z,34.025,-123.225,178.07723405998243,171.74139698648818,6.335837073494247,175.08956441640143
2000-01-01T00:00:00Z,34.025,-123.175,178.12543862066522,171.7481595112888,6.377279109376417,175.09511425076502
2000-01-01T00:00:00Z,34.025,-123.125,178.17566423054615,171.75929363233354,6.416370598212609,175.10563439743976
2000-01-01T00:00:00Z,34.025,-123.075,178.20935897050856,171.76771890903356,6.441640061474999,175.1137564748854
2000-01-01T00:00:00Z,34.025,-123.025,178.2298360417402,171.77238337690005,6.457452664840162,175.11799906814187
2000-01-01T00:00:00Z,34.025,-122.975,177.6542985624591,171.78274997499577,5.871548587463337,174.58354527055008
2000-01-01T00:00:00Z,34.025,-122.925,178.11541477126605,172.06232440055672,6.053090370709327,174.98772641064397
2000-01-01T00:00:00Z,34.025,-122.875,178.826086841793,172.56520432912166,6.260882512671344,175.63648963817576
2000-01-01T00:00:00Z,34.025,-122.825,178.2569167989149,171.77363826779091,6.483278531123972,175.11612393620086
2000-01-01T00:00:00Z,34.025,-122.775,178.25883225880142,171.7725729801771,6.486259278624317,175.11416182636813
2000-01-01T00:00:00Z,34.025,-122.725,178.26010616383613,171.77143273883058,6.488673425005544,175.11215269364263
2000-01-01T00:00:00Z,34.025,-122.675,178.26099111082524,171.77033680615057,6.490654304674678,175.11024765924384
2000-01-01T00:00:00Z,34.025,-122.625,180.42980405544873,173.82168634169696,6.608117713751767,177.1863649567758
