time,latitude,longitude,chl_max,chl_min,chl_range,chl_mean
UTC,degrees_north,degrees_east,mg m-3,mg m-3,mg m-3,mg m-3
2000-01-01T00:00:00Z,34.025,-124.975,0.3941211133122688,0.09943986207125208,0.29468125124101674,0.19706344988764976
2000-01-01T00:00:00Z,34.025,-124.925,0.39231720786815555,0.09885296575903058,0.293464242109125,0.19737232275089867
2000-01-01T00:00:00Z,34.025,-124.875,0.3892156497680364,0.09715092648243502,0.2920647232856014,0.19760492922028247
2000-01-01T00:00:00Z,34.025,-124.825,0.3833007438525497,0.09464130087776393,0.28865944297478574,0.19778535032262115
2000-01-01T00:00:00Z,34.025,-124.775,0.3774724792439195,0.09168233990897398,0.28579013933494557,0.19707820772392853
2000-01-01T00:00:00Z,34.025,-124.725,0.3776551269640799,0.0911913899836927,0.2864637369803872,0.19714627210775856
2000-01-01T00:00:00Z,34.025,-124.675,0.38197509095051113,0.09164173738440723,0.2903333535661039,0.19814337422449071
2000-01-01T00:00:00Z,34.025,-124.625,0.376079436458562,0.08915067705205203,0.28692875940650997,0.1986398158650098
2000-01-01T00:00:00Z,34.025,-124.575,0.3716689203634132,0.08784769786876032,0.2838212224946529,0.1990890187206787
2000-01-01T00:00:00Z,34.025,-124.525,0.36141381898613023,0.08593636166864883,0.2754774573174814,0.19815928086252646
2000-01-01T00:00:00Z,34.025,-124.475,0.36089209239727615,0.08571106121356215,0.275181031183714,0.19824671803592112
2000-01-01T00:00:00Z,34.025,-124.425,0.3694485921127053,0.08632929125667735,0.283119300856028,0.19981051812220552
2000-01-01T00:00:00Z,34.025,-124.375,0.3793577170938075,0.0854680268444014,0.2938896902494061,0.20160212138586867
2000-01-01T00:00:00Z,34.025,-124.325,0.3843663545964308,0.08483100164338987,0.29953535295304096,0.2031192313538026
2000-01-01T00:00:00Z,34.025,-124.275,0.37962155884250387,0.08297700648849281,0.29664455235401105,0.20263764117528932
2000-01-01T00:00:00Z,34.025,-124.225,0.37959864338299104,0.08315509020947064,0.2964435531735204,0.20281270122788275
2000-01-01T00:00:00Z,34.025,-124.175,0.38516645878455064,0.08547645719357841,0.29969000159097225,0.20465115742148018
2000-01-01T00:00:00Z,34.025,-124.125,0.3970998096713921,0.08727569579915774,0.30982411387223435,0.20762104461781664
2000-01-01T00:00:00Z,34.025,-124.075,0.390405281705609,0.08635516828733589,0.30405011341827315,0.20944353012311298
2000-01-01T00:00:00Z,34.025,-124.025,0.3791175335699508,0.08411855352965825,0.29499898004029257,0.2104258088860363
2000-01-01T00:00:00Z,34.025,-123.975,0.3801089980354858,0.08448364080350391,0.2956253572319819,0.21073342863887115
2000-01-01T00:00:00Z,34.025,-123.925,0.40351289826567827,0.08929986926084524,0.31421302900483306,0.21274162888707845
2000-01-01T00:00:00Z,34.025,-123.875,0.4581490940378347,0.0947035141390704,0.3634455798987643,0.21657552562257612
2000-01-01T00:00:00Z,34.025,-123.825,0.47723124788574295,0.09575080173526447,0.3814804461504785,0.21914591778291473
2000-01-01T00:00:00Z,34.025,-123.775,0.48129839513039263,0.09468050138760355,0.3866178937427891,0.2207149777510625
2000-01-01T00:00:00Z,34.025,-123.725,0.4863450049371737,0.09539615295348426,0.39094885198368945,0.2211607912374608
2000-01-01T00:00:00Z,34.025,-123.675,0.5585201578021789,0.10383445080883494,0.454685706993344,0.22442069616263627
2000-01-01T00:00:00Z,34.025,-123.625,0.6407641478252213,0.11330031171516844,0.5274638361100529,0.2285299393579578
2000-01-01T00:00:00Z,34.025,-123.575,0.707295147631545,0.12151962792201187,0.5857755197095331,0.2334648209567575
2000-01-01T00:00:00Z,34.025,-123.525,0.7316712966924905,0.12198709212636612,0.6096842045661244,0.23423186463158696
2000-01-01T00:00:00Z,34.025,-123.475,0.7381142101408027,0.12275926478030064,0.6153549453605021,0.23493092893608988
2000-01-01T00:00:00Z,34.025,-123.425,0.7633355346643407,0.12857621799875676,0.6347593166655839,0.23877647151548348
2000-01-01T00:00:00Z,34.025,-123.375,0.8560533758590415,0.13977280243708992,0.7162805734219516,0.24688114550026224
2000-01-01T00:00:00Z,34.025,-123.325,0.8996190021444597,0.1491513863437972,0.7504676158006625,0.25514203961852583
2000-01-01T00:00:00Z,34.025,-123.275,0.9253123487935937,0.15272070806242355,0.7725916407311701,0.25704880387113277
2000-01-01T00:00:00Z,34.025,-123.225,0.931001648064911,0.15289053364013522,0.7781111144247759,0.2580205835539521
2000-01-01T00:00:00Z,34.025,-123.175,0.9437120300579374,0.1518296168872985,0.7918824131706388,0.26278598897254485
2000-01-01T00:00:00Z,34.025,-123.125,1.010263062571146,0.15304172832119028,0.8572213342499557,0.2738924039152674
2000-01-01T00:00:00Z,34.025,-123.075,1.0359512873763883,0.15339803963632154,0.8825532477400668,0.28511992758475524
2000-01-01T00:00:00Z,34.025,-123.025,1.0458053453769491,0.15334645042676578,0.8924588949501834,0.2886371437723128
2000-01-01T00:00:00Z,34.025,-122.975,1.0538172410937234,0.15326890261173753,0.9005483384819859,0.2897003246767065
2000-01-01T00:00:00Z,34.025,-122.925,1.0930335403228162,0.1528695126331952,0.940164027689621,0.2937043361563441
2000-01-01T00:00:00Z,34.025,-122.875,1.1914158186777029,0.15226750123304922,1.0391483174446536,0.30449671070838075
2000-01-01T00:00:00Z,34.025,-122.825,1.2565236142628171,0.15123233105409611,1.105291283208721,0.31629168710765887
2000-01-01T00:00:00Z,34.025,-122.775,1.2820938108103508,0.15063760335159637,1.1314562074587544,0.3203200388455307
