time,latitude,longitude,so_max,so_min,so_range,so_mean
UTC,degrees_north,degrees_east,PSU,PSU,PSU,PSU
2000-01-01T00:00:00Z,34.025,-124.975,33.365592514205154,32.54945208155179,0.8161404326533628,32.98867046619623
2000-01-01T00:00:00Z,34.025,-124.925,33.37319119407862,32.58954711762927,0.7836440764493489,32.991639883840584
2000-01-01T00:00:00Z,34.025,-124.875,33.380725673789335,32.60455518063144,0.7761704931578919,32.99413192318177
2000-01-01T00:00:00Z,34.025,-124.825,33.39105017982214,32.614417227762154,0.776632952059984,32.996534222046584
2000-01-01T00:00:00Z,34.025,-124.775,33.42061368229518,32.618196679159055,0.802417003136128,33.00011791839106
2000-01-01T00:00:00Z,34.025,-124.725,33.43527649718001,32.61789417296509,0.8173823242149254,33.00176571999425
2000-01-01T00:00:00Z,34.025,-124.675,33.45325763643228,32.6202813908188,0.832976245613473,33.004784634226404
2000-01-01T00:00:00Z,34.025,-124.625,33.45811253574683,32.609659283441886,0.8484532523049424,33.006712703206226
2000-01-01T00:00:00Z,34.025,-124.575,33.458945640316436,32.61113938098809,0.847806259328344,33.008241453360334
2000-01-01T00:00:00Z,34.025,-124.525,33.4615377779446,32.61923845362361,0.8422993243209902,33.01007004649643
2000-01-01T00:00:00Z,34.025,-124.475,33.46211211438927,32.62684694762383,0.8352651667654385,33.010950467291465
2000-01-01T00:00:00Z,34.025,-124.425,33.46611810709584,32.6437686157215,0.8223494913743394,33.01230590890038
2000-01-01T00:00:00Z,34.025,-124.375,33.46647987142976,32.64246567992626,0.8240141915035011,33.01352886397055
2000-01-01T00:00:00Z,34.025,-124.325,33.46304897363,32.64820651777035,0.8148424558596545,33.014485013912356
2000-01-01T00:00:00Z,34.025,-124.275,33.453024801714,32.64379572285273,0.8092290788612715,33.016104535168374
2000-01-01T00:00:00Z,34.025,-124.225,33.45047944591519,32.642461042448296,0.808018403466896,33.016712593036786
2000-01-01T00:00:00Z,34.025,-124.175,33.44561813721575,32.64269216688648,0.8029259703292766,33.017366252907
2000-01-01T00:00:00Z,34.025,-124.125,33.4450940936636,32.63943319618475,0.8056608974788517,33.01793005265294
2000-01-01T00:00:00Z,34.025,-124.075,33.44733019820917,32.64210127995896,0.805228918250215,33.01795133314795
2000-01-01T00:00:00Z,34.025,-124.025,33.449200045611626,32.642544985866316,0.8066550597453102,33.01875871444647
2000-01-01T00:00:00Z,34.025,-123.975,33.45183057352752,32.643282160214,0.8085484133135239,33.01919339722601
2000-01-01T00:00:00Z,34.025,-123.925,33.457708395417846,32.64497672514843,0.8127316702694145,33.02057241911878
2000-01-01T00:00:00Z,34.025,-123.875,33.46082095313395,32.64637998793942,0.8144409651945281,33.022729290413146
2000-01-01T00:00:00Z,34.025,-123.825,33.46445772792906,32.64534920122893,0.819108526700127,33.02453048509678
2000-01-01T00:00:00Z,34.025,-123.775,33.46754484564662,32.64528333499974,0.8222615106468822,33.02795154621889
2000-01-01T00:00:00Z,34.025,-123.725,33.46858077302267,32.64482549723393,0.8237552757887414,33.02960271755147
2000-01-01T00:00:00Z,34.025,-123.675,33.46915562140034,32.64270213469369,0.8264534867066473,33.03304501541501
2000-01-01T00:00:00Z,34.025,-123.625,33.46992279264259,32.64243873978941,0.8274840528531797,33.03605306566462
2000-01-01T00:00:00Z,34.025,-123.575,33.46882562854342,32.638623787514156,0.8302018410292646,33.03830029837347
2000-01-01T00:00:00Z,34.025,-123.525,33.4720858438013,32.635860015796176,0.8362258280051265,33.04178089644067
2000-01-01T00:00:00Z,34.025,-123.475,33.47262134735301,32.63360965986015,0.8390116874928637,33.043296335439635
2000-01-01T00:00:00Z,34.025,-123.425,33.47490803631065,32.62727152466673,0.8476365116439197,33.046205867727735
2000-01-01T00:00:00Z,34.025,-123.375,33.47774555986585,32.6250367741031,0.8527087857627507,33.04919988471063
2000-01-01T00:00:00Z,34.025,-123.325,33.47953516553643,32.619679352336185,0.8598558132002481,33.051733944632026
2000-01-01T00:00:00Z,34.025,-123.275,33.4834178229508,32.61586069997075,0.8675571229800454,33.056506036470935
2000-01-01T00:00:00Z,34.025,-123.225,33.48710369468923,32.61390909706309,0.8731945976261386,33.05878361796441
2000-01-01T00:00:00Z,34.025,-123.175,33.49576123980326,32.60968279420684,0.8860784455964179,33.06271120269732
2000-01-01T00:00:00Z,34.025,-123.125,33.50171066406724,32.60908580569529,0.8926248583719527,33.06555397996425
2000-01-01T00:00:00Z,34.025,-123.075,33.508535807706295,32.60653288229985,0.9020029254064426,33.06795938656297
2000-01-01T00:00:00Z,34.025,-123.025,33.514940646340285,32.60678615769877,0.9081544886415145,33.07245148897672
2000-01-01T00:00:00Z,34.025,-122.975,33.51661291266604,32.60694524243619,0.909667670229851,33.07500054739708
2000-01-01T00:00:00Z,34.025,-122.925,33.51799131427639,32.60782424411701,0.9101670701593747,33.0803166101081
2000-01-01T00:00:00Z,34.025,-122.875,33.5194659778911,32.611985012261115,0.9074809656299863,33.084291121894886
2000-01-01T00:00:00Z,34.025,-122.825,33.51758016463601,32.61405115948097,0.9035290051550362,33.08813106653713
2000-01-01T00:00:00Z,34.025,-122.775,33.5198133676157,32.62294616593449,0.8968672016812036,33.0934793223053
2000-01-01T00:00:00Z,34.025,-122.725,33.51919269194688,32.627904715572335,0.8912879763745423,33.09626353288745
2000-01-01T00:00:00Z,34.025,-122.675,33.52029501995383,32.637834856013335,0.8824601639404932,33.1017187457134
2000-01-01T00:00:00Z,34.025,-122.625,33.52620161231672,32.640510814699944,0.8856907976167747,33.105162272556335
