time,latitude,longitude,swd_max,swd_min,swd_range,swd_mean
UTC,degrees_north,degrees_east,degree,degree,degree,degree
2000-01-01T00:00:00Z,34.025,-124.975,215.78647538513428,54.187227505673796,161.59924787946048,147.72765009599917
2000-01-01T00:00:00Z,34.025,-124.925,216.64696783414615,58.7646556378379,157.88231219630825,148.02664341256627
2000-01-01T00:00:00Z,34.025,-124.875,216.6219701875699,61.67663455534582,154.94533563222407,148.3779785943811
2000-01-01T00:00:00Z,34.025,-124.825,216.47997315271402,64.29128029184442,152.1886928608696,148.87025370404388
2000-01-01T00:00:00Z,34.025,-124.775,216.94677245051295,65.16035955599918,151.78641289451377,149.88533784815868
2000-01-01T00:00:00Z,34.025,-124.725,217.61180475386894,65.13596198532183,152.47584276854712,150.42992054375313
2000-01-01T00:00:00Z,34.025,-124.675,219.04214521583634,63.98462636893377,155.05751884690258,151.7956779756475
2000-01-01T00:00:00Z,34.025,-124.625,217.39617622499733,63.685440002598156,153.7107362223992,152.89585872837827
2000-01-01T00:00:00Z,34.025,-124.575,215.7426256018858,63.331210186068475,152.41141541581732,154.09224861719366
2000-01-01T00:00:00Z,34.025,-124.525,214.0864342766303,62.57510251307254,151.5113317635578,156.1264250948226
2000-01-01T00:00:00Z,34.025,-124.475,213.96548690071037,61.549522038534235,152.41596486217614,157.18377173083212
2000-01-01T00:00:00Z,34.025,-124.425,214.45178096344858,59.31691958488423,155.13486137856435,159.3319996120886
2000-01-01T00:00:00Z,34.025,-124.375,215.57096000362924,58.67573116928851,156.89522883434074,160.93533856338257
2000-01-01T00:00:00Z,34.025,-124.325,217.52692529877964,57.81010969571026,159.7168156030694,162.46916502519485
2000-01-01T00:00:00Z,34.025,-124.275,218.243150066078,56.58461843970082,161.65853162637717,164.87461123350718
2000-01-01T00:00:00Z,34.025,-124.225,218.25509213524714,56.053745138554596,162.20134699669254,166.10173220641752
2000-01-01T00:00:00Z,34.025,-124.175,216.98150523023463,55.720448040054556,161.26105719018008,168.3783251144204
2000-01-01T00:00:00Z,34.025,-124.125,216.06521871721552,57.150578284466135,158.91464043274937,169.7828367947871
2000-01-01T00:00:00Z,34.025,-124.075,215.07633433373448,59.25208924557848,155.824245088156,171.08577630806508
2000-01-01T00:00:00Z,34.025,-124.025,214.25443294794027,64.68018928234184,149.57424366559843,172.60217042901618
2000-01-01T00:00:00Z,34.025,-123.975,213.20306806637586,66.85446518183512,146.34860288454075,173.3491372323872
2000-01-01T00:00:00Z,34.025,-123.925,211.39082114016315,69.33322117057645,142.0575999695867,174.6323699145782
2000-01-01T00:00:00Z,34.025,-123.875,209.70544112050925,69.00732661307411,140.69811450743515,175.37811931260052
2000-01-01T00:00:00Z,34.025,-123.825,208.01539514919457,67.157234462522,140.8581606866726,176.3093885097683
2000-01-01T00:00:00Z,34.025,-123.775,206.84899810705414,64.52328437090912,142.32571373614502,177.53239886465835
2000-01-01T00:00:00Z,34.025,-123.725,206.44429684318413,63.335946541282034,143.1083503019021,178.21240146313093
2000-01-01T00:00:00Z,34.025,-123.675,206.0804763348923,61.03819971483801,145.04227662005428,179.64765662918236
2000-01-01T00:00:00Z,34.025,-123.625,206.6318306294654,62.43394733028185,144.19788329918356,180.4657977625417
2000-01-01T00:00:00Z,34.025,-123.575,207.1551225281486,62.134589631966975,145.02053289618163,181.66104734603147
2000-01-01T00:00:00Z,34.025,-123.525,208.60298472952334,61.25955281854725,147.3434319109761,183.07579836641352
2000-01-01T00:00:00Z,34.025,-123.475,209.71877211520322,61.08374914444225,148.63502297076099,183.7504055594191
2000-01-01T00:00:00Z,34.025,-123.425,211.7709965957444,60.38108295340296,151.38991364234144,185.09495052260758
2000-01-01T00:00:00Z,34.025,-123.375,214.5254353826602,62.73803950492376,151.78739587773643,185.3714268907135
2000-01-01T00:00:00Z,34.025,-123.325,216.29983012947056,64.27594067314463,152.02388945632595,186.1354651225781
2000-01-01T00:00:00Z,34.025,-123.275,218.6097640712762,66.03505472247006,152.57470934880615,186.2624839026655
2000-01-01T00:00:00Z,34.025,-123.225,219.35539687285382,64.88006419085833,154.4753326819955,186.29856120421252
2000-01-01T00:00:00Z,34.025,-123.175,219.89089827732832,61.44813374142819,158.44276453590012,186.42080801429415
2000-01-01T00:00:00Z,34.025,-123.125,219.86348032993092,59.425202403938044,160.43827792599288,186.20780256216295
2000-01-01T00:00:00Z,34.025,-123.075,218.74378641714102,58.128006889609004,160.61577952753203,186.4891001604254
