time,latitude,longitude,phyc_max,phyc_min,phyc_range,phyc_mean
UTC,degrees_north,degrees_east,MMol' 'M-3,MMol' 'M-3,MMol' 'M-3,MMol' 'M-3
2000-01-01T00:00:00Z,34.025,-124.975,2.7041844688690446,1.1639528820057177,1.540231586863327,1.5785516438142666
2000-01-01T00:00:00Z,34.025,-124.925,2.6927349788305297,1.1490468209103228,1.5436881579202069,1.5795628138577795
2000-01-01T00:00:00Z,34.025,-124.875,2.67284717784076,1.1348283829491175,1.5380187948916424,1.580381384492462
2000-01-01T00:00:00Z,34.025,-124.825,2.639876576421505,1.1300869136006408,1.509789662820864,1.580979742120592
2000-01-01T00:00:00Z,34.025,-124.775,2.605663288935293,1.1220810481920234,1.4835822407432695,1.579035075245251
2000-01-01T00:00:00Z,34.025,-124.725,2.6062568579809042,1.1208864566632208,1.4853704013176834,1.579254819471765
2000-01-01T00:00:00Z,34.025,-124.675,2.634308020373487,1.1201467330826764,1.5141612872908108,1.581930641253548
2000-01-01T00:00:00Z,34.025,-124.625,2.620642347367853,1.1025168453800671,1.5181255019877857,1.582545304939148
2000-01-01T00:00:00Z,34.025,-124.575,2.6185888376874096,1.0989895709054647,1.519599266781945,1.5824496528475207
2000-01-01T00:00:00Z,34.025,-124.525,2.5783324160173633,1.0905297277994805,1.4878026882178828,1.578928207703034
2000-01-01T00:00:00Z,34.025,-124.475,2.5750671809777623,1.0895616854478594,1.485505495529903,1.5790512968405883
2000-01-01T00:00:00Z,34.025,-124.425,2.605878206628505,1.0916749527197298,1.5142032539087753,1.5835060540188959
2000-01-01T00:00:00Z,34.025,-124.375,2.6400247791923066,1.083756410579879,1.5562683686124277,1.587803033274056
2000-01-01T00:00:00Z,34.025,-124.325,2.6556121653391567,1.0829465764327526,1.572665588906404,1.590568176726482
2000-01-01T00:00:00Z,34.025,-124.275,2.634653085535995,1.0736939468593647,1.5609591386766302,1.5880042124289246
2000-01-01T00:00:00Z,34.025,-124.225,2.6341007395689986,1.074459446625773,1.5596412929432255,1.5883998490729663
2000-01-01T00:00:00Z,34.025,-124.175,2.653490428199582,1.0858103404483115,1.5676800877512707,1.5942814159836984
2000-01-01T00:00:00Z,34.025,-124.125,2.7005681755409845,1.0940570618185435,1.606511113722441,1.6035415779035496
2000-01-01T00:00:00Z,34.025,-124.075,2.6608878771831135,1.092100603553414,1.5687872736296995,1.6085191812335273
2000-01-01T00:00:00Z,34.025,-124.025,2.6007519189932258,1.0847718334708643,1.5159800855223615,1.6107991892127411
2000-01-01T00:00:00Z,34.025,-123.975,2.603892840504282,1.0859532614287386,1.5179395790755432,1.6118324146778946
2000-01-01T00:00:00Z,34.025,-123.925,2.7112157497585994,1.1075087112975777,1.6037070384610217,1.619335706660029
2000-01-01T00:00:00Z,34.025,-123.875,2.956003611330677,1.134168384868306,1.8218352264623712,1.633766058484028
2000-01-01T00:00:00Z,34.025,-123.825,3.036345871265447,1.1456861319210907,1.8906597393443565,1.6430715892974754
2000-01-01T00:00:00Z,34.025,-123.775,3.0508747831300864,1.147984573186173,1.9028902099439133,1.6485931559442721
2000-01-01T00:00:00Z,34.025,-123.725,3.07343539401921,1.1484480225815998,1.9249873714376102,1.650445428267208
2000-01-01T00:00:00Z,34.025,-123.675,3.4058504524529254,1.16344661173475,2.2424038407181754,1.6644596568006034
2000-01-01T00:00:00Z,34.025,-123.625,3.791429310652832,1.1785490276139423,2.6128802830388898,1.6822073663105783
2000-01-01T00:00:00Z,34.025,-123.575,4.1109081938443905,1.1897919347060613,2.921116259138329,1.7030683870804535
2000-01-01T00:00:00Z,34.025,-123.525,4.236512135992624,1.1924522371319783,3.0440598988606453,1.7067580163389016
2000-01-01T00:00:00Z,34.025,-123.475,4.267386409730335,1.1922355148824177,3.0751508948479174,1.7097842846058933
2000-01-01T00:00:00Z,34.025,-123.425,4.375105116020269,1.1909028870599698,3.1842022289602996,1.7259972821726906
2000-01-01T00:00:00Z,34.025,-123.375,4.788063408611084,1.1899407840433152,3.5981226245677687,1.7608951395342005
2000-01-01T00:00:00Z,34.025,-123.325,4.9838975499767235,1.1851918828334786,3.7987056671432446,1.7960763158372794
2000-01-01T00:00:00Z,34.025,-123.275,5.105360996823964,1.1814491410777794,3.9239118557461845,1.8045992345782729
2000-01-01T00:00:00Z,34.025,-123.225,5.131403208471789,1.180942132801282,3.950461075670507,1.8087349505185355
2000-01-01T00:00:00Z,34.025,-123.175,5.180250450066059,1.1822702581498277,3.9979801919162314,1.8287763144357294
2000-01-01T00:00:00Z,34.025,-123.125,5.459100117500712,1.1826526426199626,4.276447474880749,1.8765909169792632
2000-01-01T00:00:00Z,34.025,-123.075,5.555564903939196,1.182413256615184,4.373151647324012,1.9255278912574836
2000-01-01T00:00:00Z,34.025,-123.025,5.589605709233108,1.1819910647931446,4.407614644439963,1.9411152496657016
2000-01-01T00:00:00Z,34.025,-122.975,5.624258275318353,1.181910780840193,4.4423474944781605,1.9458707711720789
2000-01-01T00:00:00Z,34.025,-122.925,5.797891004742867,1.1824355989879458,4.615455405754922,1.9640249546779025
2000-01-01T00:00:00Z,34.025,-122.875,6.217611854167736,1.1839916797002041,5.033620174467532,2.013829732040799
2000-01-01T00:00:00Z,34.025,-122.825,6.481952480233344,1.1855973467453027,5.296355133488042,2.0688710607134984
2000-01-01T00:00:00Z,34.025,-122.775,6.579734537343962,1.1864915674026877,5.393242969941275,2.088807189289092
2000-01-01T00:00:00Z,34.025,-122.725,6.6081667115881695,1.1866104022921415,5.421556309296028,2.094828404973614
