time,latitude,longitude,no3_max,no3_min,no3_range,no3_mean
UTC,degrees_north,degrees_east,MMol' 'M-3,MMol' 'M-3,MMol' 'M-3,MMol' 'M-3
2000-01-01T00:00:00Z,34.025,-124.975,5.794985198564058,0.003279610404986613,5.791705588159071,2.127378648174539
2000-01-01T00:00:00Z,34.025,-124.925,5.839418255434795,0.0035702323180475735,5.835848023116748,2.1469487134488667
2000-01-01T00:00:00Z,34.025,-124.875,5.89981529685402,0.0037124260207876602,5.896102870833232,2.1716404274628256
2000-01-01T00:00:00Z,34.025,-124.825,5.966604519003659,0.0036365930297831976,5.962967925973876,2.202175602381755
2000-01-01T00:00:00Z,34.025,-124.775,5.989303382946243,0.003393890948237063,5.985909491998006,2.2054599209262054
2000-01-01T00:00:00Z,34.025,-124.725,5.996392157682792,0.003353035708973972,5.993039121973818,2.2082119489778433
2000-01-01T00:00:00Z,34.025,-124.675,6.0243123785650505,0.00347344580121064,6.02083893276384,2.223809619778707
2000-01-01T00:00:00Z,34.025,-124.625,6.092169358030256,0.0035490314700270882,6.088620326560229,2.248267480394943
2000-01-01T00:00:00Z,34.025,-124.575,6.173752761381164,0.0035747154305306897,6.1701780459506335,2.2787736291634904
2000-01-01T00:00:00Z,34.025,-124.525,6.211959410874384,0.003526797159255793,6.208432613715128,2.2806017391604407
2000-01-01T00:00:00Z,34.025,-124.475,6.218538044497462,0.0035159193283316533,6.21502212516913,2.2839681463149137
2000-01-01T00:00:00Z,34.025,-124.425,6.227761808479464,0.0035496134718514265,6.224212195007612,2.305275469149136
2000-01-01T00:00:00Z,34.025,-124.375,6.276894018224478,0.0035974010385243812,6.273296617185954,2.341785440605999
2000-01-01T00:00:00Z,34.025,-124.325,6.3528133992455285,0.003681306171181068,6.349132093074347,2.3860624118138856
2000-01-01T00:00:00Z,34.025,-124.275,6.3914105089132685,0.003699001602551473,6.387711507310717,2.39517804838129
2000-01-01T00:00:00Z,34.025,-124.225,6.397572252822114,0.003717494992495058,6.393854757829619,2.3996454862524352
2000-01-01T00:00:00Z,34.025,-124.175,6.393968298517967,0.003785551622017315,6.39018274689595,2.420067248848508
2000-01-01T00:00:00Z,34.025,-124.125,6.4038612864206685,0.0038555666892423172,6.400005719731427,2.458512286016853
2000-01-01T00:00:00Z,34.025,-124.075,6.4239027980954475,0.00389373800029588,6.420009060095151,2.490380618744355
2000-01-01T00:00:00Z,34.025,-124.025,6.442266599839973,0.0038911372132150123,6.438375462626758,2.51247853605579
2000-01-01T00:00:00Z,34.025,-123.975,6.442342622165455,0.0039443406970276025,6.4383982814684275,2.516697273298892
2000-01-01T00:00:00Z,34.025,-123.925,6.421156475470659,0.00419678767882848,6.416959687791831,2.534455910732143
2000-01-01T00:00:00Z,34.025,-123.875,6.371256851340371,0.0044965127162577495,6.366760338624114,2.5669957380102577
2000-01-01T00:00:00Z,34.025,-123.825,6.327778546747532,0.0044879952741512,6.323290551473381,2.591113873548836
2000-01-01T00:00:00Z,34.025,-123.775,6.297570102153689,0.004299128707974125,6.293270973445715,2.6071427164979943
2000-01-01T00:00:00Z,34.025,-123.725,6.295101519550976,0.004498057277062241,6.290603462273914,2.6108506383527326
2000-01-01T00:00:00Z,34.025,-123.675,6.30418421043103,0.005906166073707506,6.298278044357323,2.638073287507986
2000-01-01T00:00:00Z,34.025,-123.625,6.31279621363249,0.007042306351083237,6.305753907281407,2.6723225223232316
2000-01-01T00:00:00Z,34.025,-123.575,6.314380081564924,0.007207779843814724,6.307172301721109,2.71428614177505
2000-01-01T00:00:00Z,34.025,-123.525,6.307875663574894,0.005793657648313305,6.3020820059265805,2.719122252016691
2000-01-01T00:00:00Z,34.025,-123.475,6.305236108053275,0.005968307424566555,6.299267800628708,2.7232446553069067
2000-01-01T00:00:00Z,34.025,-123.425,6.299627652186524,0.008628964846743812,6.290998687339781,2.747826745174358
2000-01-01T00:00:00Z,34.025,-123.375,6.287175009725573,0.012041061092751543,6.2751339486328215,2.797562164534712
2000-01-01T00:00:00Z,34.025,-123.325,6.28704266427327,0.0141022229417276,6.272940441331542,2.8463429883269944
2000-01-01T00:00:00Z,34.025,-123.275,6.254489242697576,0.014778241026011973,6.239711001671564,2.857279880226965
2000-01-01T00:00:00Z,34.025,-123.225,6.26603784696114,0.01480190421375902,6.251235942747381,2.86157020738925
2000-01-01T00:00:00Z,34.025,-123.175,6.373779364652963,0.014965474203537957,6.358813890449425,2.8813469042890665
2000-01-01T00:00:00Z,34.025,-123.125,6.577998718982474,0.016079535521465398,6.561919183461008,2.926667526172211
2000-01-01T00:00:00Z,34.025,-123.075,6.764183753742239,0.02407881150815439,6.740104942234085,2.968720828619956
2000-01-01T00:00:00Z,34.025,-123.025,6.865350228380679,0.020324055982079006,6.8450261723986,2.9803097495946376
2000-01-01T00:00:00Z,34.025,-122.975,6.8714034493263885,0.021958522672587095,6.849444926653802,2.983375816683338
2000-01-01T00:00:00Z,34.025,-122.925,6.8090376257660425,0.04239966952048613,6.766637956245557,2.9947734733236424
2000-01-01T00:00:00Z,34.025,-122.875,6.721126194893827,0.09436941851219303,6.626756776381634,3.0255315037978985
2000-01-01T00:00:00Z,34.025,-122.825,6.6286497149442924,0.17162198860134836,6.457027726342944,3.055906083333047
2000-01-01T00:00:00Z,34.025,-122.775,6.557760741598078,0.19570680641342011,6.362053935184658,3.0631291914060217
2000-01-01T00:00:00Z,34.025,-122.725,6.557306794011321,0.20335655752450923,6.353950236486812,3.0660815313736145
