time,latitude,longitude,sws_max,sws_min,sws_range,sws_mean
UTC,degrees_north,degrees_east,m s**-1,m s**-1,m s**-1,m s**-1
2000-01-01T00:00:00Z,34.025,-124.975,0.3648114534127343,0.5950625537185981,0.23025110030586377,0.07317906025288415
2000-01-01T00:00:00Z,34.025,-124.925,0.3651755983944607,0.5922257145118753,0.22705011611741466,0.07493470132560494
2000-01-01T00:00:00Z,34.025,-124.875,0.3692635318071076,0.5988711890530601,0.22960765724595256,0.0761710672646545
2000-01-01T00:00:00Z,34.025,-124.825,0.3731272649400593,0.6076508637818294,0.2345235988417701,0.07736871150813666
2000-01-01T00:00:00Z,34.025,-124.775,0.3842703245675515,0.6084091915770375,0.22413886700948604,0.07914069898327859
2000-01-01T00:00:00Z,34.025,-124.725,0.38940259762930063,0.6046493538318073,0.21524675620250666,0.07992408249427224
2000-01-01T00:00:00Z,34.025,-124.675,0.40111919881583386,0.5944651090416132,0.19334591022577935,0.08159808004416433
2000-01-01T00:00:00Z,34.025,-124.625,0.40253232283798346,0.6154140864483929,0.21288176361040945,0.08299185334342463
2000-01-01T00:00:00Z,34.025,-124.575,0.40430200493606805,0.6491402655213855,0.24483826058531744,0.08438766103934575
2000-01-01T00:00:00Z,34.025,-124.525,0.4020029411665707,0.6723332003429847,0.270330259176414,0.08707273234355996
2000-01-01T00:00:00Z,34.025,-124.475,0.40134135776505475,0.6764188092336515,0.27507745146859675,0.08840541959658166
2000-01-01T00:00:00Z,34.025,-124.425,0.3998924449644273,0.6607452129186828,0.26085276795425555,0.09130469322039918
2000-01-01T00:00:00Z,34.025,-124.375,0.39323302709055735,0.6231325992196997,0.2298995721291423,0.09306879934240031
2000-01-01T00:00:00Z,34.025,-124.325,0.38517733875554716,0.5871730639937359,0.20199572523818876,0.09448146206999096
2000-01-01T00:00:00Z,34.025,-124.275,0.37260758126615706,0.5447713408809363,0.1721637596147792,0.09631818874867283
2000-01-01T00:00:00Z,34.025,-124.225,0.36602318335089046,0.5293341958294911,0.1633110124786007,0.09721013544104995
2000-01-01T00:00:00Z,34.025,-124.175,0.3517220335967916,0.508490937784914,0.15676890418812245,0.09902229789902961
2000-01-01T00:00:00Z,34.025,-124.125,0.3447203992779618,0.4919016426636888,0.14718124338572702,0.10061832229703056
2000-01-01T00:00:00Z,34.025,-124.075,0.3375080672439432,0.47392158647603877,0.13641351923209555,0.1020497521122168
2000-01-01T00:00:00Z,34.025,-124.025,0.316091196927241,0.45278959633411187,0.13669839940687084,0.10420085268644297
2000-01-01T00:00:00Z,34.025,-123.975,0.3064028633099477,0.4482108341305268,0.1418079708205791,0.10522050075755329
2000-01-01T00:00:00Z,34.025,-123.925,0.29366320581855565,0.45814721923058427,0.16448401341202862,0.10673355968164366
2000-01-01T00:00:00Z,34.025,-123.875,0.2894810534598661,0.47674845078215095,0.18726739732228487,0.10756899459594434
2000-01-01T00:00:00Z,34.025,-123.825,0.2867474900915489,0.501762826065649,0.21501533597410016,0.10805159666721713
2000-01-01T00:00:00Z,34.025,-123.775,0.28834558546085703,0.5530097215540224,0.26466413609316536,0.10884653606838073
2000-01-01T00:00:00Z,34.025,-123.725,0.29298912804332156,0.5754226138319972,0.28243348578867566,0.10900741977609198
2000-01-01T00:00:00Z,34.025,-123.675,0.2941262603092664,0.5987608553313322,0.30463459502206575,0.10899852018150982
2000-01-01T00:00:00Z,34.025,-123.625,0.3063341731254959,0.5817688859383797,0.27543471281288384,0.10850739518562627
2000-01-01T00:00:00Z,34.025,-123.575,0.3090059754764603,0.5518416949991959,0.24283571952273558,0.1073985656352557
2000-01-01T00:00:00Z,34.025,-123.525,0.3233551208761057,0.49608304323175517,0.1727279223556495,0.10537756714167577
2000-01-01T00:00:00Z,34.025,-123.475,0.3278715108108823,0.4706739919282138,0.14280248111733151,0.10449893160301457
2000-01-01T00:00:00Z,34.025,-123.425,0.3316529457057416,0.4342873429439346,0.10263439723819301,0.10272229999609514
2000-01-01T00:00:00Z,34.025,-123.375,0.32775981066522614,0.41964941206134504,0.0918896013961189,0.10196374633091237
2000-01-01T00:00:00Z,34.025,-123.325,0.3193325666435224,0.40362407968179853,0.08429151303827614,0.10137798160544631
2000-01-01T00:00:00Z,34.025,-123.275,0.3178327600228521,0.404003949067702,0.08617118904484988,0.10079072739254402
2000-01-01T00:00:00Z,34.025,-123.225,0.31965961110641133,0.404867311287474,0.08520770018106266,0.10057257344317601
2000-01-01T00:00:00Z,34.025,-123.175,0.3263183728636791,0.4119068456253807,0.08558847276170162,0.09997869430068781
2000-01-01T00:00:00Z,34.025,-123.125,0.32669122965511177,0.4218900054822789,0.09519877582716713,0.09935435889386166
2000-01-01T00:00:00Z,34.025,-123.075,0.32111921436068824,0.43117796384687174,0.1100587494861835,0.09871676191068565
2000-01-01T00:00:00Z,34.025,-123.025,0.3092199845544454,0.45664813703098384,0.14742815247653845,0.0974761292327593
2000-01-01T00:00:00Z,34.025,-122.975,0.3014892947075055,0.4709401174046313,0.1694508226971258,0.09669915197027708
2000-01-01T00:00:00Z,34.025,-122.925,0.28355924545556227,0.49975799398658205,0.21619874853101978,0.09500006671110976
2000-01-01T00:00:00Z,34.025,-122.875,0.2788344863267026,0.5121835058355365,0.2333490195088339,0.09344492398291093
2000-01-01T00:00:00Z,34.025,-122.825,0.26884416888642676,0.5292414895787728,0.26039732069234606,0.09202143436828521
2000-01-01T00:00:00Z,34.025,-122.775,0.27856108421310594,0.5443671984851961,0.26580611427209017,0.08920237333447774
