time,latitude,longitude,thetao_max,thetao_min,thetao_range,thetao_mean
UTC,degrees_north,degrees_east,degree_C,degree_C,degree_C,degree_C
2000-01-01T00:00:00Z,34.025,-124.975,19.404499567328045,12.262511622283156,7.141987945044889,15.719561781270325
2000-01-01T00:00:00Z,34.025,-124.925,19.385774507662713,12.258329357299106,7.127445150363608,15.70638001336971
2000-01-01T00:00:00Z,34.025,-124.875,19.37566476317232,12.28020250826757,7.095462254904751,15.703292418846317
2000-01-01T00:00:00Z,34.025,-124.825,19.362510322568323,12.284495125807211,7.078015196761111,15.69422358551128
2000-01-01T00:00:00Z,34.025,-124.775,19.33648523931919,12.331745722467796,7.004739516851396,15.68887376974844
2000-01-01T00:00:00Z,34.025,-124.725,19.315292952319925,12.363477458417343,6.951815493902583,15.684936997411741
2000-01-01T00:00:00Z,34.025,-124.675,19.266884376993687,12.443851805235528,6.823032571758159,15.674052816841414
2000-01-01T00:00:00Z,34.025,-124.625,19.22625563485376,12.54219042059964,6.684065214254121,15.66945946023804
2000-01-01T00:00:00Z,34.025,-124.575,19.176989740506226,12.570817534950713,6.606172205555513,15.656590451943543
2000-01-01T00:00:00Z,34.025,-124.525,19.118725270900047,12.387533165847877,6.73119210505217,15.64143022660712
2000-01-01T00:00:00Z,34.025,-124.475,19.09292716140433,12.275771671516713,6.817155489887616,15.632048049448482
2000-01-01T00:00:00Z,34.025,-124.425,19.04324222749748,12.088846797848618,6.954395429648862,15.609732035333133
2000-01-01T00:00:00Z,34.025,-124.375,19.027962272104826,12.061108438136015,6.966853833968811,15.59785794554116
2000-01-01T00:00:00Z,34.025,-124.325,19.004940543880707,12.083137937625278,6.921802606255429,15.57903863095758
2000-01-01T00:00:00Z,34.025,-124.275,18.970359692921743,12.182616863066787,6.787742829854956,15.558250274229767
2000-01-01T00:00:00Z,34.025,-124.225,18.93947937023176,12.232250071529267,6.707229298702492,15.546695893764001
2000-01-01T00:00:00Z,34.025,-124.175,18.866315942887475,12.30839204649695,6.557923896390525,15.5200756652933
2000-01-01T00:00:00Z,34.025,-124.125,18.803580538552076,12.362290339081392,6.441290199470684,15.503144208408925
2000-01-01T00:00:00Z,34.025,-124.075,18.725964460503647,12.413356273982922,6.312608186520725,15.478524411845171
2000-01-01T00:00:00Z,34.025,-124.025,18.61919535000537,12.452552639164855,6.166642710840515,15.446159425989471
2000-01-01T00:00:00Z,34.025,-123.975,18.573249334005023,12.4634644460144,6.109784887990623,15.427750959287962
2000-01-01T00:00:00Z,34.025,-123.925,18.491840589324028,12.465379397982224,6.026461191341804,15.391425423517505
2000-01-01T00:00:00Z,34.025,-123.875,18.483075980078933,12.455684741589293,6.02739123848964,15.373498149048729
2000-01-01T00:00:00Z,34.025,-123.825,18.472601042125877,12.448739094632634,6.023861947493243,15.34881921707368
2000-01-01T00:00:00Z,34.025,-123.775,18.500393683040404,12.429981421437002,6.070412261603401,15.321311357939239
2000-01-01T00:00:00Z,34.025,-123.725,18.505113344643974,12.401755506407271,6.103357838236702,15.305830028801438
2000-01-01T00:00:00Z,34.025,-123.675,18.507032618603624,12.335358857655507,6.171673760948117,15.270918635069844
2000-01-01T00:00:00Z,34.025,-123.625,18.48812782317913,12.22366751660111,6.264460306578021,15.249600631985176
2000-01-01T00:00:00Z,34.025,-123.575,18.464011300401694,12.132532012311575,6.331479288090119,15.221852742765401
2000-01-01T00:00:00Z,34.025,-123.525,18.42547485182726,11.947283866476653,6.478190985350608,15.189623509962182
2000-01-01T00:00:00Z,34.025,-123.475,18.404891198691804,11.888104813341082,6.516786385350722,15.174633661203336
2000-01-01T00:00:00Z,34.025,-123.425,18.346199735310982,11.815246973457748,6.530952761853234,15.145328454039566
2000-01-01T00:00:00Z,34.025,-123.375,18.322886676675623,11.84744935288366,6.475437323791963,15.13206516086688
2000-01-01T00:00:00Z,34.025,-123.325,18.255829074897118,11.87062093160664,6.385208143290479,15.114380909287647
2000-01-01T00:00:00Z,34.025,-123.275,18.19609425178578,11.911672833049316,6.284421418736464,15.095067465107576
2000-01-01T00:00:00Z,34.025,-123.225,18.16518171750955,11.910192867905927,6.254988849603624,15.083013118829339
2000-01-01T00:00:00Z,34.025,-123.175,18.09654928127229,11.889219662927909,6.20732961834438,15.056926550676673
2000-01-01T00:00:00Z,34.025,-123.125,18.085353457215415,11.844881982000265,6.24047147521515,15.041472883832162
2000-01-01T00:00:00Z,34.025,-123.075,18.037033569377876,11.804643291985306,6.23239027739257,15.02235049795108
2000-01-01T00:00:00Z,34.025,-123.025,18.017781489786795,11.742881752190444,6.274899737596352,15.00493926639477
2000-01-01T00:00:00Z,34.025,-122.975,18.01243683032924,11.720204798136054,6.292232032193185,14.997099406500372
2000-01-01T00:00:00Z,34.025,-122.925,18.03931804941789,11.68088237557536,6.35843567384253,14.982416533908848
2000-01-01T00:00:00Z,34.025,-122.875,18.064630246322917,11.677741847740434,6.386888398582483,14.97502490559538
2000-01-01T00:00:00Z,34.025,-122.825,18.08292356959923,11.673230355950443,6.409693213648788,14.96333144281874
2000-01-01T00:00:00Z,34.025,-122.775,18.09377272566454,11.69197085179414,6.401801873870399,14.946955164907282
2000-01-01T00:00:00Z,34.025,-122.725,18.09843225287279,11.70426835948151,6.39416389339128,14.938207994970103
2000-01-01T00:00:00Z,34.025,-122.675,18.088219263505042,11.727319999620125,6.360899263884917,14.919123743021908
2000-01-01T00:00:00Z,34.025,-122.625,18.102733351729082,11.75124997811715,6.3514833736119325,14.912755771360032
